hin_id	hin_sent	eng_id	eng_sent	eng_roots
Hin_Geo_ncert_6stnd_1ch_0010	यह अलग-अलग समय पर अलग आकार तथा अलग स्थितियों में दिखाई पड़ता है।	Eng_Geo_ncert_6stnd_1ch_0010	It may, however, appear at different times, in different shapes and at different positions	b'^It/Prpers<prn><subj><p3><nt><sg>/Prpers<prn><obj><p3><nt><sg>$ ^may/may<vbmod><inf>/may<vbmod><pres>$^,/,<cm>$ ^however/however<adv>$^,/,<cm>$ ^appear/appear<vblex><inf>/appear<vblex><pres>/appear<vblex><imp>$ ^at/at<pr>$ ^different/different<adj>$ ^times/time<n><pl>/time<vblex><pres><p3><sg>$^,/,<cm>$ ^in/in<adv>/in<pr>$ ^different/different<adj>$ ^shapes/shape<n><pl>/shape<vblex><pres><p3><sg>$ ^and/and<cnjcoo>$ ^at/at<pr>$ ^different/different<adj>$ ^positions/position<n><pl>/position<vblex><pres><p3><sg>$\n'
Hin_Geo_ncert_6stnd_1ch_0011	आप पूर्ण चंद्र को लगभग एक महीने में एक बार देख सकते हैं।	Eng_Geo_ncert_6stnd_1ch_0011	You can see the full moon only once in about a month’s time.	b"^You/You<np><cog><sg>/You<prn><pers><p2><mf><sg>/Prpers<prn><subj><p2><mf><sp>/Prpers<prn><obj><p2><mf><sp>$ ^can/can<n><sg>/can<vbmod><inf>/can<vbmod><pres>/can<vblex><inf>/can<vblex><pres>/can<vblex><imp>$ ^see/see<vblex><inf>/see<vblex><pres>/see<vblex><imp>$ ^the/the<det><def><sp>$ ^full/full<adj><sint>$ ^moon/moon<n><sg>$ ^only once/only once<adv>$ ^in/in<adv>/in<pr>$ ^about/about<adv>/about<pr>$ ^a/a<det><ind><sg>$ ^month/month<n><sg>$^\xe2\x80\x99/'<apos>$^s/*s$ ^time/time<n><sg>/time<vblex><inf>/time<vblex><pres>/time<vblex><imp>$^./.<sent>$\n"
Hin_Geo_ncert_6stnd_1ch_0012	यह पूर्ण चंद्रमा वाली रात या पूर्णिमा होती है।	Eng_Geo_ncert_6stnd_1ch_0012	It is Full moon night or Poornima.	b'^It/Prpers<prn><subj><p3><nt><sg>/Prpers<prn><obj><p3><nt><sg>$ ^is/be<vbser><pres><p3><sg>$ ^Full/Full<adj><sint>$ ^moon/moon<n><sg>$ ^night/night<n><sg>$ ^or/or<cnjcoo>$ ^Poornima/*Poornima$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0013	पंद्रह दिन के बाद आप इसे नहीं देख सकते।	Eng_Geo_ncert_6stnd_1ch_0013	A fortnight later, you cannot see it at all.	b'^A/A<det><ind><sg>$ ^fortnight/fortnight<n><sg>$ ^later/later<adv>/late<adj><sint><comp>$^,/,<cm>$ ^you/you<prn><pers><p2><mf><sg>/prpers<prn><subj><p2><mf><sp>/prpers<prn><obj><p2><mf><sp>$ ^cannot/can<vbmod><pres>+not<adv>$ ^see/see<vblex><inf>/see<vblex><pres>/see<vblex><imp>$ ^it/prpers<prn><subj><p3><nt><sg>/prpers<prn><obj><p3><nt><sg>$ ^at all/at all<adv>$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0014	यह नये चंद्रमा की रात्रि या अमावस्या होती है।	Eng_Geo_ncert_6stnd_1ch_0014	It is a New moon night or Amavasya	b'^It/Prpers<prn><subj><p3><nt><sg>/Prpers<prn><obj><p3><nt><sg>$ ^is/be<vbser><pres><p3><sg>$ ^a/a<det><ind><sg>$ ^New/New<adj><sint>$ ^moon/moon<n><sg>$ ^night/night<n><sg>$ ^or/or<cnjcoo>$ ^Amavasya/*Amavasya$\n'
Hin_Geo_ncert_6stnd_1ch_0015	ऐसी रात में अगर आसमान साफ है तो आप आसमान का अवलोकन अच्छी तरह से कर सकते हैं।	Eng_Geo_ncert_6stnd_1ch_0015	On this day, you can watch the night sky best, provided it is a clear night.	b'^On/On<adv>/On<pr>$ ^this/this<det><dem><sg>/this<prn><dem><mf><sg>/this<prn><rel><an><mf><sp>$ ^day/day<n><sg>$^,/,<cm>$ ^you/you<prn><pers><p2><mf><sg>/prpers<prn><subj><p2><mf><sp>/prpers<prn><obj><p2><mf><sp>$ ^can/can<n><sg>/can<vbmod><inf>/can<vbmod><pres>/can<vblex><inf>/can<vblex><pres>/can<vblex><imp>$ ^watch/watch<n><sg>/watch<vblex><inf>/watch<vblex><pres>/watch<vblex><imp>$ ^the/the<det><def><sp>$ ^night/night<n><sg>$ ^sky/sky<n><sg>$ ^best/best<adv>/good<adj><sint><sup>$^,/,<cm>$ ^provided/provided<adj>/provided<cnjadv>/provide<vblex><past>/provide<vblex><pp>$ ^it/prpers<prn><subj><p3><nt><sg>/prpers<prn><obj><p3><nt><sg>$ ^is/be<vbser><pres><p3><sg>$ ^a/a<det><ind><sg>$ ^clear/clear<adj><sint>/clear<vblex><inf>/clear<vblex><pres>/clear<vblex><imp>$ ^night/night<n><sg>$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0016	क्या आपको इस बात पर आश्चर्य नहीं होता है कि हम दिन के समय चंद्रमा एवं इन सभी छोटी चमकीली वस्तुओं को क्यों नहीं देख पाते हैं	Eng_Geo_ncert_6stnd_1ch_0016	Do you wonder why can’t we see the moon and all those bright tiny objects during day time?	b"^Do/Do<vblex><inf>/Do<vblex><pres>/Do<vblex><imp>/Do<vaux><inf>/Do<vaux><pres>/Do<vbdo><inf>/Do<vbdo><pres>/Do<vbdo><imp>$ ^you/you<prn><pers><p2><mf><sg>/prpers<prn><subj><p2><mf><sp>/prpers<prn><obj><p2><mf><sp>$ ^wonder/wonder<n><sg>/wonder<vblex><inf>/wonder<vblex><pres>/wonder<vblex><imp>$ ^why/why<adv><itg>$ ^can/can<n><sg>/can<vbmod><inf>/can<vbmod><pres>/can<vblex><inf>/can<vblex><pres>/can<vblex><imp>$^\xe2\x80\x99/'<apos>$^t/*t$ ^we/prpers<prn><subj><p1><mf><pl>$ ^see/see<vblex><inf>/see<vblex><pres>/see<vblex><imp>$ ^the/the<det><def><sp>$ ^moon/moon<n><sg>$ ^and/and<cnjcoo>$ ^all/all<adv>/all<predet><sp>/all<det><qnt><pl>/all<prn><qnt><mf><sp>$ ^those/that<det><dem><pl>/that<prn><dem><mf><pl>$ ^bright/bright<adj><sint>$ ^tiny/tiny<adv>/tiny<adj><sint>$ ^objects/object<n><pl>/object<vblex><pres><p3><sg>$ ^during/during<pr>$ ^day/day<n><sg>$ ^time/time<n><sg>/time<vblex><inf>/time<vblex><pres>/time<vblex><imp>$^?/?<sent>$\n"
Hin_Geo_ncert_6stnd_1ch_0017	ऐसा इसलिए है, क्योंकि सूर्य के अत्यधिक तेज प्रकाश के कारण रात के समय चमकने वाली वस्तुओं को हम दिन में नहीं देख पाते हैं।	Eng_Geo_ncert_6stnd_1ch_0017	It is because the very bright light of the sun does not allow us to see all these bright objects of the night sky.	b'^It/Prpers<prn><subj><p3><nt><sg>/Prpers<prn><obj><p3><nt><sg>$ ^is/be<vbser><pres><p3><sg>$ ^because/because<cnjsub>/because<cnjadv>$ ^the/the<det><def><sp>$ ^very/very<adv>/very<preadv>$ ^bright/bright<adj><sint>$ ^light/light<adv>/light<n><sg>/light<adj><sint>/light<vblex><inf>/light<vblex><pres>/light<vblex><imp>$ ^of/of<pr>$ ^the/the<det><def><sp>$ ^sun/sun<n><sg>/sun<vblex><inf>/sun<vblex><pres>/sun<vblex><imp>$ ^does/do<vblex><pres><p3><sg>/do<vaux><pres><p3><sg>/do<vbdo><pres><p3><sg>$ ^not/not<adv>$ ^allow/allow<vblex><inf>/allow<vblex><pres>/allow<vblex><imp>$ ^us/prpers<prn><obj><p1><mf><pl>$ ^to/to<pr>$ ^see/see<vblex><inf>/see<vblex><pres>/see<vblex><imp>$ ^all/all<adv>/all<predet><sp>/all<det><qnt><pl>/all<prn><qnt><mf><sp>$ ^these/this<det><dem><pl>/this<prn><dem><mf><pl>$ ^bright/bright<adj><sint>$ ^objects/object<n><pl>/object<vblex><pres><p3><sg>$ ^of/of<pr>$ ^the/the<det><def><sp>$ ^night/night<n><sg>$ ^sky/sky<n><sg>$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0018	सूर्य, चंद्रमा तथा वे सभी वस्तुएँ जो रात के समय आसमान में चमकती हैं, खगोलीय पिंड कहलाती हैं।	Eng_Geo_ncert_6stnd_1ch_0018	The sun, the moon and all those objects shining in the night sky are called celestial bodies.	b'^The/The<det><def><sp>$ ^sun/sun<n><sg>/sun<vblex><inf>/sun<vblex><pres>/sun<vblex><imp>$^,/,<cm>$ ^the/the<det><def><sp>$ ^moon/moon<n><sg>$ ^and/and<cnjcoo>$ ^all/all<adv>/all<predet><sp>/all<det><qnt><pl>/all<prn><qnt><mf><sp>$ ^those/that<det><dem><pl>/that<prn><dem><mf><pl>$ ^objects/object<n><pl>/object<vblex><pres><p3><sg>$ ^shining/shine<vblex><pprs>/shine<vblex><subs>/shine<vblex><ger>$ ^in/in<adv>/in<pr>$ ^the/the<det><def><sp>$ ^night/night<n><sg>$ ^sky/sky<n><sg>$ ^are called/be<vblex><pres><p1><pl># called/be<vblex><pres><p2><sg># called/be<vblex><pres><p2><pl># called/be<vblex><pres><p3><pl># called$ ^celestial bodies/celestial bodies<n><pl>$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0019	कुछ खगोलीय पिंड बड़े आकार वाले तथा गर्म होते हैं।	Eng_Geo_ncert_6stnd_1ch_0019	Some celestial bodies are very big and hot.	b'^Some/Some<adj>/Some<adv>/Some<det><qnt><sp>/Some<prn><ind><mf><pl>$ ^celestial bodies/celestial bodies<n><pl>$ ^are/be<vbser><pres>$ ^very/very<adv>/very<preadv>$ ^big/big<adj><sint>$ ^and/and<cnjcoo>$ ^hot/hot<adj><sint>$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0020	ये गैसों से बने होते हैं।	Eng_Geo_ncert_6stnd_1ch_0020	They are made up of gases.	b'^They/Prpers<prn><subj><p3><mf><pl>$ ^are/be<vbser><pres>$ ^made up/make<vblex><sep><past># up/make<vblex><sep><pp># up$ ^of/of<pr>$ ^gases/gas<n><pl>$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0021	इनके पास अपनी ऊष्मा तथा प्रकाश होता है, जिसे वे बहुत बड़ी मात्रा में उत्सर्जित करते हैं।	Eng_Geo_ncert_6stnd_1ch_0021	They have their own heat and light, which they emit in large amounts.	b'^They/Prpers<prn><subj><p3><mf><pl>$ ^have/have<vbhaver><inf>/have<vbhaver><pres>/have<vblex><inf>/have<vblex><pres>/have<vblex><imp>$ ^their/their<det><pos><sp>/prpers<det><pos><p3><mf><pl>$ ^own/own<adj>/own<vblex><inf>/own<vblex><pres>/own<vblex><imp>$ ^heat/heat<n><sg>/heat<vblex><inf>/heat<vblex><pres>/heat<vblex><imp>$ ^and/and<cnjcoo>$ ^light/light<adv>/light<n><sg>/light<adj><sint>/light<vblex><inf>/light<vblex><pres>/light<vblex><imp>$^,/,<cm>$ ^which/which<det><itg><sp>/which<prn><itg><mf><sp>/which<prn><rel><an><mf><sp>$ ^they/prpers<prn><subj><p3><mf><pl>$ ^emit/emit<vblex><inf>/emit<vblex><pres>/emit<vblex><imp>$ ^in/in<adv>/in<pr>$ ^large/large<adj><sint>$ ^amounts/amount<n><pl>/amount<vblex><pres><p3><sg>$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0022	इन खगोलीय पिंडों को तारा कहते हैं।	Eng_Geo_ncert_6stnd_1ch_0022	These celestial bodies are called stars.	b'^These/This<det><dem><pl>/This<prn><dem><mf><pl>$ ^celestial bodies/celestial bodies<n><pl>$ ^are called/be<vblex><pres><p1><pl># called/be<vblex><pres><p2><sg># called/be<vblex><pres><p2><pl># called/be<vblex><pres><p3><pl># called$ ^stars/star<n><pl>/star<vblex><pres><p3><sg>$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0023	सूर्य भी एक तारा है।	Eng_Geo_ncert_6stnd_1ch_0023	The sun is a star.	b'^The/The<det><def><sp>$ ^sun/sun<n><sg>/sun<vblex><inf>/sun<vblex><pres>/sun<vblex><imp>$ ^is/be<vbser><pres><p3><sg>$ ^a/a<det><ind><sg>$ ^star/star<n><sg>/star<vblex><inf>/star<vblex><pres>/star<vblex><imp>$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0024	रात के समय चमकते हुए अनगिनत तारे सूर्य के समान ही हैं।	Eng_Geo_ncert_6stnd_1ch_0024	Countless twinkling stars in the night sky are similar to the sun	b'^Countless/Countless<adj>$ ^twinkling/twinkle<vblex><pprs>/twinkle<vblex><subs>/twinkle<vblex><ger>$ ^stars/star<n><pl>/star<vblex><pres><p3><sg>$ ^in/in<adv>/in<pr>$ ^the/the<det><def><sp>$ ^night/night<n><sg>$ ^sky/sky<n><sg>$ ^are/be<vbser><pres>$ ^similar/similar<adj>/similar<adv>$ ^to/to<pr>$ ^the/the<det><def><sp>$ ^sun/sun<n><sg>/sun<vblex><inf>/sun<vblex><pres>/sun<vblex><imp>$\n'
Hin_Geo_ncert_6stnd_1ch_0025	लेकिन हमसे बहुत अधिक दूर होने के कारण हम लोग उनकी ऊष्मा या प्रकाश को महसूस नहीं करते हैं तथा वे अत्यंत छोटे दिखाई पड़ते हैं।	Eng_Geo_ncert_6stnd_1ch_0025	But we do not feel their heat or light, and they look so tiny because they are very very far from us.	b'^But/But<cnjcoo>/But<pr>$ ^we/prpers<prn><subj><p1><mf><pl>$ ^do/do<vblex><inf>/do<vblex><pres>/do<vblex><imp>/do<vaux><inf>/do<vaux><pres>/do<vbdo><inf>/do<vbdo><pres>/do<vbdo><imp>$ ^not/not<adv>$ ^feel/feel<n><sg>/feel<vblex><inf>/feel<vblex><pres>/feel<vblex><imp>$ ^their/their<det><pos><sp>/prpers<det><pos><p3><mf><pl>$ ^heat/heat<n><sg>/heat<vblex><inf>/heat<vblex><pres>/heat<vblex><imp>$ ^or/or<cnjcoo>$ ^light/light<adv>/light<n><sg>/light<adj><sint>/light<vblex><inf>/light<vblex><pres>/light<vblex><imp>$^,/,<cm>$ ^and/and<cnjcoo>$ ^they/prpers<prn><subj><p3><mf><pl>$ ^look/look<adv>/look<n><sg>/look<vblex><inf>/look<vblex><pres>/look<vblex><imp>$ ^so/so<adv>/so<preadv>/so<cnjadv>$ ^tiny/tiny<adv>/tiny<adj><sint>$ ^because/because<cnjsub>/because<cnjadv>$ ^they/prpers<prn><subj><p3><mf><pl>$ ^are/be<vbser><pres>$ ^very/very<adv>/very<preadv>$ ^very/very<adv>/very<preadv>$ ^far/far<adv>/far<adj><sint>$ ^from/from<pr>$ ^us/prpers<prn><obj><p1><mf><pl>$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0026	आपने अवश्य ध्यान दिया होगा कि कुछ दूरी से देखने पर सभी वस्तुएँ छोटी दिखाई पड़ती हैं।	Eng_Geo_ncert_6stnd_1ch_0026	You must have noticed that all objects look smaller when seen from a distance	b'^You/You<np><cog><sg>/You<prn><pers><p2><mf><sg>/Prpers<prn><subj><p2><mf><sp>/Prpers<prn><obj><p2><mf><sp>$ ^must/must<n><sg>/must<vbmod><inf>/must<vbmod><pres>$ ^have/have<vbhaver><inf>/have<vbhaver><pres>/have<vblex><inf>/have<vblex><pres>/have<vblex><imp>$ ^noticed/notice<vblex><past>/notice<vblex><pp>$ ^that/that<cnjsub>/that<det><dem><sg>/that<prn><dem><mf><sg>/that<prn><rel><an><mf><sp>$ ^all/all<adv>/all<predet><sp>/all<det><qnt><pl>/all<prn><qnt><mf><sp>$ ^objects/object<n><pl>/object<vblex><pres><p3><sg>$ ^look/look<adv>/look<n><sg>/look<vblex><inf>/look<vblex><pres>/look<vblex><imp>$ ^smaller/small<adj><sint><comp>$ ^when/when<adv>/when<cnjsub>/when<cnjadv>/when<adv><itg>$ ^seen/see<vblex><pp>$ ^from a distance/from a distance<adv>$\n'
Hin_Geo_ncert_6stnd_1ch_0027	अत्यधिक ऊँचाई पर उड़ रहा हवाई जहाज कितना छोटा दिखाई देता है!	Eng_Geo_ncert_6stnd_1ch_0027	How small an aeroplane looks when it is flying at a great height!	b'^How/How<adv>/How<preadv>/How<adv><itg>$ ^small/small<adj><sint>$ ^an/a<det><ind><sg>$ ^aeroplane/aeroplane<n><sg>$ ^looks/look<n><pl>/look<vblex><pres><p3><sg>$ ^when/when<adv>/when<cnjsub>/when<cnjadv>/when<adv><itg>$ ^it/prpers<prn><subj><p3><nt><sg>/prpers<prn><obj><p3><nt><sg>$ ^is/be<vbser><pres><p3><sg>$ ^flying/flying<n><sg>/fly<vblex><pprs>/fly<vblex><subs>/fly<vblex><ger>$ ^at/at<pr>$ ^a/a<det><ind><sg>$ ^great/great<adj><sint>$ ^height/height<n><sg>$^!/!<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0028	रात्रि में आसमान की ओर देखते समय आप तारों के विभिन्न समूहों द्वारा बनाई गई विविध आकृतियों देख सकते हैं।	Eng_Geo_ncert_6stnd_1ch_0028	While watching the night sky, you may notice various patterns formed by different groups of stars.	b'^While/While<adv>/While<cnjsub>/While<cnjadv>/While<n><sg>$ ^watching/watch<vblex><pprs>/watch<vblex><subs>/watch<vblex><ger>$ ^the/the<det><def><sp>$ ^night/night<n><sg>$ ^sky/sky<n><sg>$^,/,<cm>$ ^you/you<prn><pers><p2><mf><sg>/prpers<prn><subj><p2><mf><sp>/prpers<prn><obj><p2><mf><sp>$ ^may/may<vbmod><inf>/may<vbmod><pres>$ ^notice/notice<n><sg>/notice<vblex><inf>/notice<vblex><pres>/notice<vblex><imp>$ ^various/various<adj>/various<det><ind><pl>$ ^patterns/pattern<n><pl>$ ^formed/form<vblex><pp>/form<vblex><past>$ ^by/by<adv>/by<pr>$ ^different/different<adj>$ ^groups/group<n><pl>/group<vblex><pres><p3><sg>$ ^of/of<pr>$ ^stars/star<n><pl>/star<vblex><pres><p3><sg>$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0029	ये नक्षत्रमंडल कहलाते हैं।	Eng_Geo_ncert_6stnd_1ch_0029	These are called constellations.	b'^These/This<det><dem><pl>/This<prn><dem><mf><pl>$ ^are called/be<vblex><pres><p1><pl># called/be<vblex><pres><p2><sg># called/be<vblex><pres><p2><pl># called/be<vblex><pres><p3><pl># called$ ^constellations/constellation<n><pl>$^./.<sent>$\n'
Hin_Geo_ncert_6stnd_1ch_0030	अर्सा मेजर या बिग बीयर इसी प्रकार का एक नक्षत्रमंडल है।	Eng_Geo_ncert_6stnd_1ch_0030	Ursa Major or Big Bear is one such constellation.	b'^Ursa/*Ursa$ ^Major/Major<adj>/Major<n><sg>/Major<np><cog><sg>$ ^or/or<cnjcoo>$ ^Big/Big<adj><sint>$ ^Bear/Bear<n><sg>/Bear<vblex><inf>/Bear<vblex><pres>/Bear<vblex><imp>/Bear<np><cog><sg>$ ^is/be<vbser><pres><p3><sg>$ ^one/one<num><sg>/one<prn><dem><mf><sg>$ ^such/such<adv>/such<det><ind><sp>$ ^constellation/constellation<n><sg>$^./.<sent>$\n'
