	hin_id	hin_sent	eng_id	eng_sent
31	Hin_Geo_ncert_6stnd_1ch_0032	यह सात तारों का समूह है, जो कि नक्षत्रमंडल अर्सा मेजर का भाग है।	Eng_Geo_ncert_6stnd_1ch_0032	it is a group of seven stars  that forms a part ofUrsa Major Constellation
32	Hin_Geo_ncert_6stnd_1ch_0033	अपने परिवार या पड़ोस में किसी बड़े व्यक्ति से कहिए कि वह आपको आसमान में और अधिक तारों ग्रहों तथा नक्षत्रमंडलों को दिखाएँ।	Eng_Geo_ncert_6stnd_1ch_0033	Ask someone elder in your family or neighbourhood to show you more stars, planets and constellations in the sky.
33	Hin_Geo_ncert_6stnd_1ch_0034	प्राचीन समय में, लोग रात्रि में दिशा का निर्धारण तारों की सहायता से करते थे।	Eng_Geo_ncert_6stnd_1ch_0034	In ancient times, people used to determine directions during the night with the help of stars.
34	Hin_Geo_ncert_6stnd_1ch_0035	उत्तरी तारा उत्तर दिशा को बताता है।	Eng_Geo_ncert_6stnd_1ch_0035	The North star indicates the north direction.
35	Hin_Geo_ncert_6stnd_1ch_0036	इसे ध्रुव तारा भी कहा जाता है।	Eng_Geo_ncert_6stnd_1ch_0036	It is also called the Pole Star.
36	Hin_Geo_ncert_6stnd_1ch_0037	यह आसमान में हमेशा एक ही स्थान पर रहता है।	Eng_Geo_ncert_6stnd_1ch_0037	It always remains in the same position in the sky
37	Hin_Geo_ncert_6stnd_1ch_0038	हम सप्तऋषि की सहायता से ध्रुव तारे की स्थिति को जान सकते हैं।	Eng_Geo_ncert_6stnd_1ch_0038	We can locate the position of the Pole Star with the help of the Saptarishi
38	Hin_Geo_ncert_6stnd_1ch_0039	चित्र में आप देखेंगे कि यदि सप्तऋषि मंडल के संकेतक तारों को आपस में मिलाते हुए एक काल्पनिक रेखा खींची जाए एवं उसे आगे की ओर बढ़ाया जाए तो यह ध्रुव तारे की ओर इंगित करेगी।	Eng_Geo_ncert_6stnd_1ch_0039	Look at Figure  You will notice that, if an imaginary line is drawn joining the pointer stars and extended further, it will point to the Pole Star.
39	Hin_Geo_ncert_6stnd_1ch_0040	कुछ खगोलीय पिंडों में अपना प्रकाश एवं ऊष्मा नहीं होती है।	Eng_Geo_ncert_6stnd_1ch_0040	Some celestial bodies do not have their own heat and light.
40	Hin_Geo_ncert_6stnd_1ch_0041	वे तारों के प्रकाश से प्रकाशित होते हैं।	Eng_Geo_ncert_6stnd_1ch_0041	They are lit by the light of the stars.
41	Hin_Geo_ncert_6stnd_1ch_0042	ऐसे पिंड ग्रह कहलाते हैं।	Eng_Geo_ncert_6stnd_1ch_0042	Such bodies are called planets.
42	Hin_Geo_ncert_6stnd_1ch_0043	ग्रह जिसे अंग्रेजी में प्लेनेट कहते हैं ग्रीक भाषा के प्लेनेटाइ शब्द से बना है जिसका अर्थ होता है परिभ्रमक अर्थात् चारों ओर घूमने वाले।	Eng_Geo_ncert_6stnd_1ch_0043	The word ‘planet’ comes from the Greek word “Planetai” which means ‘wanderers’.
43	Hin_Geo_ncert_6stnd_1ch_0044	पृथ्वी, जिस पर हम रहते हैं, एक ग्रह है।	Eng_Geo_ncert_6stnd_1ch_0044	The earth on which we live is a planet.
44	Hin_Geo_ncert_6stnd_1ch_0045	यह अपना संपूर्ण प्रकाश एवं ऊष्मा सूर्य से प्राप्त करती है, जो पृथ्वी के सबसे नज़दीक का तारा है।	Eng_Geo_ncert_6stnd_1ch_0045	It gets all its heat and light from the sun, which is our nearest star.
45	Hin_Geo_ncert_6stnd_1ch_0046	पृथ्वी को बहुत अधिक दूरी से, जैसे चंद्रमा से देखने पर, यह चंद्रमा की तरह चमकती हुई प्रतीत होगी।	Eng_Geo_ncert_6stnd_1ch_0046	If we look at the earth from a great distance, say the moon, it will appear to be shining just as the moon.
46	Hin_Geo_ncert_6stnd_1ch_0047	आसमान में दिखने वाला चंद्रमा एक उपग्रह है।	Eng_Geo_ncert_6stnd_1ch_0047	The moon that we see in the sky is a satellite
47	Hin_Geo_ncert_6stnd_1ch_0048	यह हमारी पृथ्वी का सहचर है तथा इसके चारों ओर चक्कर लगाता है।	Eng_Geo_ncert_6stnd_1ch_0048	It is a companion of our earth and moves round it.
48	Hin_Geo_ncert_6stnd_1ch_0049	हमारी पृथ्वी के समान, सात अन्य ग्रह हैं जो सूर्य से प्रकाश एवं ऊष्मा प्राप्त करते हैं।	Eng_Geo_ncert_6stnd_1ch_0049	Like our earth, there are seven other planets that get heat and light from the sun. Some of them have their moons too.
49	Hin_Geo_ncert_6stnd_1ch_0050	उनमें से कुछ के पास अपने चंद्रमा भी हैं।	Eng_Geo_ncert_6stnd_1ch_0050	Some of them have their moons too.
50	Hin_Geo_ncert_6stnd_1ch_0051	सूर्य, आठ ग्रह, उपग्रह तथा कुछ अन्य खगोलीय पिंड, जैसे क्षुद्र ग्रह एवं उल्कापिंड मिलकर सौरमंडल का निर्माण करते हैं।	Eng_Geo_ncert_6stnd_1ch_0051	The sun, eight planets, satellites and some other celestial bodies known as asteroids and meteoroids form the solar system
51	Hin_Geo_ncert_6stnd_1ch_0052	उसे हम सौर परिवार का नाम देते हैं, जिसका मुखिया सूर्य है।	Eng_Geo_ncert_6stnd_1ch_0052	We often call it a solar family, with the sun as its Head.
52	Hin_Geo_ncert_6stnd_1ch_0053	सूर्य सौरमंडल के केन्द्र में स्थित है।	Eng_Geo_ncert_6stnd_1ch_0053	The sun is in the centre of the solar system
53	Hin_Geo_ncert_6stnd_1ch_0054	यह बहुत बड़ा है एवं अत्यधिक गर्म गैसों से बना है।	Eng_Geo_ncert_6stnd_1ch_0054	It is huge and made up of extremely hot gases.
54	Hin_Geo_ncert_6stnd_1ch_0055	इसका खिंचाव बल इससे सौरमंडल को बाँधे रखता है।	Eng_Geo_ncert_6stnd_1ch_0055	It provides the pulling force that binds the solar system.
55	Hin_Geo_ncert_6stnd_1ch_0056	सूर्य, सौरमंडल के लिए प्रकाश एवं ऊष्मा का एकमात्र स्रोत है।	Eng_Geo_ncert_6stnd_1ch_0056	The sun is the ultimate source of heat and light for the solar system.
56	Hin_Geo_ncert_6stnd_1ch_0057	लेकिन हम इसकी अत्यधिक तेज ऊष्मा को महसूस नहीं करते हैं, क्योंकि सबसे नज़दीक का तारा होने के बावजूद यह हमसे बहुत दूर है।	Eng_Geo_ncert_6stnd_1ch_0057	The sun is the ultimate source of heat and light for the solar system. But that tremendous heat is not felt so much by us because despite being our nearest star, it is far away from us.
57	Hin_Geo_ncert_6stnd_1ch_0058	सूर्य पृथ्वी से लगभग 15 करोड़ किलोमीटर दूर है।	Eng_Geo_ncert_6stnd_1ch_0058	The sun is about 150 million km away from the earth.
58	Hin_Geo_ncert_6stnd_1ch_0059	हमारे सौरमंडल में आठ ग्रह हैं।	Eng_Geo_ncert_6stnd_1ch_0059	There are eight planets in our solar system
59	Hin_Geo_ncert_6stnd_1ch_0060	सूर्य से दूरी के अनुसार, वे हैंः बुध, शुक्र, पृथ्वी, मंगल, बृहस्पति, शनि, यूरेनस तथा नेप्च्यून।	Eng_Geo_ncert_6stnd_1ch_0060	In order of their distance from the sun, they are: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus and Neptune.
60	Hin_Geo_ncert_6stnd_1ch_0061	सौरमंडल के सभी आठ ग्रह एक निश्चित पथ पर सूर्य का चक्कर लगाते हैं।	Eng_Geo_ncert_6stnd_1ch_0061	All the eight planets of the solar system move around the sun in fixed paths.
61	Hin_Geo_ncert_6stnd_1ch_0062	ये रास्ते दीर्घवृत्ताकार में फेले हुए हैं	Eng_Geo_ncert_6stnd_1ch_0062	These paths are elongated.
62	Hin_Geo_ncert_6stnd_1ch_0063	ये कक्षा कहलाते हैं।	Eng_Geo_ncert_6stnd_1ch_0063	They are called orbits.
63	Hin_Geo_ncert_6stnd_1ch_0064	बुध सूर्य के सबसे नज़दीक है।	Eng_Geo_ncert_6stnd_1ch_0064	Mercury is nearest to the sun.
64	Hin_Geo_ncert_6stnd_1ch_0065	अपनी कक्षा में सूर्य के चारों ओर एक चक्कर लगाने में इसे केवल 88 दिन लगते हैं।	Eng_Geo_ncert_6stnd_1ch_0065	takes only about 88 days to complete one round along its orbit
65	Hin_Geo_ncert_6stnd_1ch_0066	शुक्र को पृथ्वी का जुड़वाँ ग्रह माना जाता है, क्योंकि इसका आकार एवं आकृति लगभग पृथ्वी के ही समान है।	Eng_Geo_ncert_6stnd_1ch_0066	Venus is considered as Earth’s-twin’ because its size and shape are very much similar to that of the earth.
66	Hin_Geo_ncert_6stnd_1ch_0067	अभी तक प्लूटो भी एक ग्रह माना जाता था।	Eng_Geo_ncert_6stnd_1ch_0067	Till recently  Pluto was also considered a planet
67	Hin_Geo_ncert_6stnd_1ch_0068	परन्तु अंतर्राष्ट्रीय खगोलीय संगठन ने अपनी बैठक ;अगस्त 2006 में यह निर्णय लिया कि कुछ समय पहले खोजे गए अन्य खगोलीय पिण्ड 2003 सिरस तथा प्लूटो ‘बौने ग्रह’ कहे जा सकते हैं।	Eng_Geo_ncert_6stnd_1ch_0068	However, in a meeting of the International Astronomical Union, a decision was taken that Pluto like other celestial objects Ceres, 2003 discovered in recent past may be called dwarf planets.”
68	Hin_Geo_ncert_6stnd_1ch_0069	सूर्य से दूरी के हिसाब से पृथ्वी तीसरा ग्रह है।	Eng_Geo_ncert_6stnd_1ch_0069	The earth is the third nearest planet to the sun.
69	Hin_Geo_ncert_6stnd_1ch_0070	आकार में, यह पाँचवाँ सबसे बड़ा ग्रह है।	Eng_Geo_ncert_6stnd_1ch_0070	In size, it is the fifth largest planet.
70	Hin_Geo_ncert_6stnd_1ch_0071	यह ध्रुवों के पास थोड़ी चपटी है।	Eng_Geo_ncert_6stnd_1ch_0071	it is slightly flattened at the poles
71	Hin_Geo_ncert_6stnd_1ch_0072	यही कारण है कि इसके आकार को भू-आभ कहा जाता है।	Eng_Geo_ncert_6stnd_1ch_0072	That is why, its shape is described as a Geoid.
72	Hin_Geo_ncert_6stnd_1ch_0073	भू-आभ का अर्थ है, पृथ्वी के समान आकार।	Eng_Geo_ncert_6stnd_1ch_0073	Geoid means an earth-like shape
73	Hin_Geo_ncert_6stnd_1ch_0074	जीवन के लिए अनुकूल परिस्थितियाँ संभवतः केवल पृथ्वी पर ही पाई जाती हैं।	Eng_Geo_ncert_6stnd_1ch_0074	Conditions favourable to support life are probably found only on the earth.
74	Hin_Geo_ncert_6stnd_1ch_0075	पृथ्वी न तो अधिक गर्म है और न ही अधिक ठंडी।	Eng_Geo_ncert_6stnd_1ch_0075	The earth is neither too hot nor too cold.
75	Hin_Geo_ncert_6stnd_1ch_0076	यहाँ पानी एवं वायु उपस्थित है, जो हमारे जीवन के लिए आवश्यक है।	Eng_Geo_ncert_6stnd_1ch_0076	It has water and air, which are very essential for our survival.
76	Hin_Geo_ncert_6stnd_1ch_0077	वायु में जीवन के लिए आवश्यक गैसें, जैसे ऑक्सीजन मौजूद है।	Eng_Geo_ncert_6stnd_1ch_0077	The air has life-supporting gases like oxygen.
77	Hin_Geo_ncert_6stnd_1ch_0078	इन्हीं कारणों से, पृथ्वी सौरमंडल का सबसे अद्भुत ग्रह है।	Eng_Geo_ncert_6stnd_1ch_0078	Because of these reasons, the earth is a unique planet in the solar system.
78	Hin_Geo_ncert_6stnd_1ch_0079	अंतरिक्ष से देखने पर पृथ्वी नीले रंग की दिखाई पड़ती है, क्योंकि इसकी दो-तिहाई सतह पानी से ढकी हुई है।	Eng_Geo_ncert_6stnd_1ch_0079	From the outer space, the earth appears blue because its two-thirds surface is covered by water.
79	Hin_Geo_ncert_6stnd_1ch_0080	इसलिए इसे, नीला ग्रह कहा जाता है।	Eng_Geo_ncert_6stnd_1ch_0080	therefore, called a blue planet.
80	Hin_Geo_ncert_6stnd_1ch_0081	हमारी पृथ्वी के पास केवल एक उपग्रह है, चंद्रमा।	Eng_Geo_ncert_6stnd_1ch_0081	Our earth has only one satellite, that is, the moon.
81	Hin_Geo_ncert_6stnd_1ch_0082	इसका व्यास पृथ्वी के व्यास का केवल एक-चैथाई है।	Eng_Geo_ncert_6stnd_1ch_0082	Its diametre is only one-quarter that of the earth.
82	Hin_Geo_ncert_6stnd_1ch_0083	यह इतना बड़ा इसलिए प्रतीत होता है, क्योंकि यह हमारे ग्रह से अन्य खगोलीय पिंडों की अपेक्षा नज़दीक है।	Eng_Geo_ncert_6stnd_1ch_0083	It appears so big because it is nearer to our planet than other celestial bodies.
83	Hin_Geo_ncert_6stnd_1ch_0084	यह हमसे लगभग 3,84,400 किलोमीटर दूर है।	Eng_Geo_ncert_6stnd_1ch_0084	It is about 3,84,400 km away from us.
84	Hin_Geo_ncert_6stnd_1ch_0085	चंद्रमा पृथ्वी का एक चक्कर लगभग 27 दिन में पूरा करता है।	Eng_Geo_ncert_6stnd_1ch_0085	The moon moves around the earth in about 27 days.
85	Hin_Geo_ncert_6stnd_1ch_0086	लगभग इतने ही समय में यह अपने अक्ष पर एक चक्कर भी पूरा करता है।	Eng_Geo_ncert_6stnd_1ch_0086	It takes exactly the same time to complete one spin
86	Hin_Geo_ncert_6stnd_1ch_0087	इसके परिणामस्वरूप पृथ्वी से हमें चंद्रमा का केवल एक ही भाग दिखाई पड़ता है।	Eng_Geo_ncert_6stnd_1ch_0087	As a result, only one side of the moon is visible to us on the earth.
87	Hin_Geo_ncert_6stnd_1ch_0088	अब आप पृथ्वी से सूर्य एवं चंद्रमा की दूरियों की तुलना कर सकते हैं।	Eng_Geo_ncert_6stnd_1ch_0088	Now you can compare the distance of the earth from the sun and that from the moon.
88	Hin_Geo_ncert_6stnd_1ch_0089	चंद्रमा की परिस्थितियाँ जीवन के लिए अनुकूल नहीं हैं।	Eng_Geo_ncert_6stnd_1ch_0089	The moon does not have conditions favourable for life.
89	Hin_Geo_ncert_6stnd_1ch_0090	इसकी सतह पर पर्वत, मैदान एवं गड्ढे हैं जो चंद्रमा की सतह पर छाया बनाते हैं।	Eng_Geo_ncert_6stnd_1ch_0090	It has mountains, plains and depressions on its surface These cast shadows on the moon’s surface.
90	Hin_Geo_ncert_6stnd_1ch_0091	पूर्णिमा के दिन चंद्रमा पर इनकी छाया को देखा जा सकता है।	Eng_Geo_ncert_6stnd_1ch_0091	Look at the full moon and observe these shadows.
91	Hin_Geo_ncert_6stnd_1ch_0092	तारों, ग्रहों एवं उपग्रहों के अतिरिक्त, असंख्य छोटे पिंड भी सूर्य के चारों ओर चक्कर लगाते हैं।	Eng_Geo_ncert_6stnd_1ch_0092	Apart from the stars, planets and satellites, there are numerous tiny bodies which also move around the sun.
92	Hin_Geo_ncert_6stnd_1ch_0093	इन पिंडों को क्षुद्र ग्रह कहते हैं।	Eng_Geo_ncert_6stnd_1ch_0093	These bodies are called asteroids.
93	Hin_Geo_ncert_6stnd_1ch_0094	ये मंगल एवं बृहस्पति की कक्षाओं के बीच पाए जाते हैं।	Eng_Geo_ncert_6stnd_1ch_0094	They are found between the orbits of Mars and Jupiter .
94	Hin_Geo_ncert_6stnd_1ch_0095	वैज्ञानिकों के अनुसार क्षुद्र ग्रह, ग्रह के ही भाग होते हैं, जो कि बहुत वर्ष पहले विस्फोट के बाद ग्रहों से टूटकर अलग हो गए।	Eng_Geo_ncert_6stnd_1ch_0095	Scientists are of the view that asteroids are parts of a planet which exploded many years back.
95	Hin_Geo_ncert_6stnd_1ch_0096	सूर्य के चारों ओर चक्कर लगाने वाले पत्थरों के छोटे-छोटे टुकड़ों को उल्कापिंड कहते हैं।	Eng_Geo_ncert_6stnd_1ch_0096	The small pieces of rocks which move around the sun are called meteoroids.
96	Hin_Geo_ncert_6stnd_1ch_0097	कभी-कभी ये उल्कापिंड पृथ्वी के इतने नज़दीक आ जाते हैं कि इनकी प्रवृत्ति पृथ्वी पर गिरने की होती है।	Eng_Geo_ncert_6stnd_1ch_0097	Sometimes these meteoroids come near the earth and tend to drop upon it.
97	Hin_Geo_ncert_6stnd_1ch_0098	इस प्रक्रिया के दौरान वायु के साथ घर्षण होने के कारण ये गर्म होकर जल जाते हैं।	Eng_Geo_ncert_6stnd_1ch_0098	During this process due to friction with the air they get heated up and burn.
98	Hin_Geo_ncert_6stnd_1ch_0099	फलस्वरूप, चमकदार प्रकाश उत्पन्न होता है।	Eng_Geo_ncert_6stnd_1ch_0099	It causes a flash of light
99	Hin_Geo_ncert_6stnd_1ch_0100	कभी-कभी कोई उल्का पूरी तरह जले बिना पृथ्वी पर गिरती है जिससे धरातल पर गड्ढे बन जाते हैं।	Eng_Geo_ncert_6stnd_1ch_0100	Sometimes, a meteor without being completely burnt, falls on the earth and creates a hollow.
100	Hin_Geo_ncert_6stnd_1ch_0101	क्या आपने तारों वाले, खुले आकाश में, एक ओर से दूसरी ओर तक फैली चौड़ी सफ़ेद पट्टी की तरह, एक चमकदार रास्ते को देखा है?	Eng_Geo_ncert_6stnd_1ch_0101	Do you see a whitish broad band, like a white glowing path across the sky on a clear starry night?
101	Hin_Geo_ncert_6stnd_1ch_0102	यह लाखों तारों का समूह है।	Eng_Geo_ncert_6stnd_1ch_0102	It is a cluster of millions of stars.
102	Hin_Geo_ncert_6stnd_1ch_0103	यह पट्टी आकाशगंगा मिल्की वे है।	Eng_Geo_ncert_6stnd_1ch_0103	This band is the Milky
103	Hin_Geo_ncert_6stnd_1ch_0104	हमारा सौरमंडल इस आकाशगंगा का एक भाग है।	Eng_Geo_ncert_6stnd_1ch_0104	Our solar system is a part of this galaxy.
104	Hin_Geo_ncert_6stnd_1ch_0105	प्राचीन भारत में इसकी कल्पना आकाश में प्रकाश की एक बहती नदी से की गई थी।	Eng_Geo_ncert_6stnd_1ch_0105	In ancient India, it was imagined to be a river of light flowing in the sky.
105	Hin_Geo_ncert_6stnd_1ch_0106	इस प्रकार इसका नाम आकाशगंगा पड़ा था।	Eng_Geo_ncert_6stnd_1ch_0106	Thus, it was named Akash Ganga.
106	Hin_Geo_ncert_6stnd_1ch_0107	आकाशगंगा करोड़ों तारों, बादलों तथा गैसों की एक प्रणाली है।	Eng_Geo_ncert_6stnd_1ch_0107	A galaxy is a huge system of billions of stars, and clouds of dust and gases.
107	Hin_Geo_ncert_6stnd_1ch_0108	इस प्रकार की लाखों आकाशगंगाएँ मिलकर ब्रह्मांड का निर्माण करती हैं।	Eng_Geo_ncert_6stnd_1ch_0108	There are millions of such galaxies that make the Universe.
108	Hin_Geo_ncert_6stnd_1ch_0109	ब्रह्मांड की विशालता की कल्पना करना अत्यधिक कठिन है।	Eng_Geo_ncert_6stnd_1ch_0109	It is difficult to imagine how big the universe is.
109	Hin_Geo_ncert_6stnd_1ch_0110	वैज्ञानिक अभी भी इसके बारे में अधिक से अधिक जानकारी एकत्र करने में जुटे हैं।	Eng_Geo_ncert_6stnd_1ch_0110	Scientists are still tryingto find out more and more about it.
110	Hin_Geo_ncert_6stnd_1ch_0111	इसके आकार के संबंध में हमें कोई जानकारी नहीं है, लेकिन फिर भी हम जानते हैं कि हम सभी इसी ब्रह्मांड का हिस्सा हैं।	Eng_Geo_ncert_6stnd_1ch_0111	We are not certain about its size but we know that all of us – you and I belong to this universe.
111	Hin_Geo_ncert_6stnd_1ch_0112	ग्रह और तारे में क्या अंतर है?	Eng_Geo_ncert_6stnd_1ch_0112	How does a planet differ from a star?
112	Hin_Geo_ncert_6stnd_1ch_0113	सौरमंडल से आप क्या समझते हैं?	Eng_Geo_ncert_6stnd_1ch_0113	What is meant by the ‘Solar System’?
113	Hin_Geo_ncert_6stnd_1ch_0114	सूर्य से उनकी दूरी के अनुसार सभी ग्रहों के नाम लिखें।	Eng_Geo_ncert_6stnd_1ch_0114	Name all the planets according to their distance from the sun.
114	Hin_Geo_ncert_6stnd_1ch_0115	पृथ्वी को अद्भुत ग्रह क्यों कहा जाता है?	Eng_Geo_ncert_6stnd_1ch_0115	Why is the Earth called a unique planet?
115	Hin_Geo_ncert_6stnd_1ch_0116	हम हमेशा चंद्रमा के एक ही भाग को क्यों देख पाते हैं?	Eng_Geo_ncert_6stnd_1ch_0116	Why do we see only one side of the moon always?
116	Hin_Geo_ncert_6stnd_1ch_0117	ब्रह्मांड क्या है?	Eng_Geo_ncert_6stnd_1ch_0117	What is the Universe ?
117	Hin_Geo_ncert_6stnd_1ch_0118	किस ग्रह को पृथ्वी के जुड़वाँ ग्रह के नाम से जाना जाता है?	Eng_Geo_ncert_6stnd_1ch_0118	The planet known as the “Earth’s Twin” is?
